id,record_type,status,date_created_gmt,total_amount,subscription_id,order_relationship,billing_email,customer_id,ended_at
1,shop_subscription,wc-pending-cancel,"2025-06-05 22:06:00",32.58,,subscription,user2001@example.com,2001,
2,shop_order,wc-completed,"2025-06-05 22:06:00",41.22,1,parent,user2001@example.com,2001,
3,shop_subscription,wc-active,"2025-05-27 02:54:00",13.14,,subscription,user2003@example.com,2003,
4,shop_order,wc-completed,"2025-05-27 02:54:00",9.34,3,parent,user2003@example.com,2003,
5,shop_order,wc-pending,"2026-02-01 01:11:00",11.94,3,renewal,user2003@example.com,2003,
6,shop_order,wc-completed,"2025-12-02 07:19:00",43.93,3,renewal,user2003@example.com,2003,
7,shop_order,wc-completed,"2025-08-22 05:04:00",29.58,3,renewal,user2003@example.com,2003,
8,shop_order,wc-completed,"2025-11-23 02:42:00",47.35,3,renewal,user2003@example.com,2003,
9,shop_order,wc-failed,"2026-06-08 22:33:00",33.14,3,renewal,user2003@example.com,2003,
10,shop_order,wc-completed,"2025-10-27 03:46:00",19.27,3,renewal,user2003@example.com,2003,
11,shop_subscription,wc-active,"2026-03-11 12:26:00",12.38,,subscription,user2011@example.com,2011,
12,shop_order,wc-completed,"2026-03-11 12:26:00",48.62,11,parent,user2011@example.com,2011,
13,shop_order,wc-completed,"2026-04-17 19:01:00",12.84,11,renewal,user2011@example.com,2011,
14,shop_order,wc-pending,"2025-08-01 17:03:00",26.73,11,renewal,user2011@example.com,2011,
15,shop_order,wc-failed,"2025-07-16 20:03:00",15.67,11,renewal,user2011@example.com,2011,
16,shop_order,wc-completed,"2025-08-13 11:13:00",12.27,11,renewal,user2011@example.com,2011,
17,shop_order,wc-failed,"2026-04-06 05:01:00",18.28,11,renewal,user2011@example.com,2011,
18,shop_subscription,wc-cancelled,"2025-09-27 09:57:00",20.38,,subscription,user2018@example.com,2018,"2026-05-27 09:57:00"
19,shop_order,wc-completed,"2025-09-27 09:57:00",36.64,18,parent,user2018@example.com,2018,
20,shop_order,wc-failed,"2025-01-28 21:50:00",39.38,18,renewal,user2018@example.com,2018,
21,shop_order,wc-completed,"2025-08-08 12:59:00",21.08,18,renewal,user2018@example.com,2018,
22,shop_subscription,wc-pending,"2025-03-13 15:45:00",47.17,,subscription,user2022@example.com,2022,
23,shop_order,wc-failed,"2025-03-13 15:45:00",15.16,22,parent,user2022@example.com,2022,
24,shop_order,wc-pending,"2025-05-07 04:56:00",19.63,22,renewal,user2022@example.com,2022,
25,shop_subscription,wc-active,"2025-11-28 00:35:00",39.68,,subscription,user2025@example.com,2025,
26,shop_order,wc-completed,"2025-11-28 00:35:00",21.68,25,parent,user2025@example.com,2025,
27,shop_order,wc-pending,"2025-08-03 02:36:00",47.17,25,renewal,user2025@example.com,2025,
28,shop_order,wc-completed,"2026-02-03 01:00:00",45.99,25,renewal,user2025@example.com,2025,
29,shop_subscription,wc-active,"2025-09-08 03:13:00",18.08,,subscription,user2029@example.com,2029,
30,shop_order,wc-failed,"2025-09-08 03:13:00",31.15,29,parent,user2029@example.com,2029,
31,shop_order,wc-completed,"2025-02-13 18:11:00",9.86,29,renewal,user2029@example.com,2029,
32,shop_order,wc-pending,"2025-01-17 10:08:00",14.55,29,renewal,user2029@example.com,2029,
33,shop_order,wc-completed,"2025-05-25 04:05:00",30.87,29,renewal,user2029@example.com,2029,
34,shop_order,wc-completed,"2025-12-23 02:12:00",38.93,29,renewal,user2029@example.com,2029,
35,shop_subscription,wc-cancelled,"2026-04-18 11:16:00",26.81,,subscription,user2035@example.com,2035,"2026-11-18 11:16:00"
36,shop_order,wc-completed,"2026-04-18 11:16:00",21.71,35,parent,user2035@example.com,2035,
37,shop_order,wc-completed,"2025-04-12 21:56:00",32.66,35,renewal,user2035@example.com,2035,
38,shop_order,wc-completed,"2025-07-15 02:00:00",39.03,35,renewal,user2035@example.com,2035,
39,shop_order,wc-completed,"2025-12-11 10:58:00",39.83,35,renewal,user2035@example.com,2035,
40,shop_order,wc-completed,"2025-12-14 04:41:00",13.98,35,renewal,user2035@example.com,2035,
41,shop_order,wc-failed,"2026-02-04 03:59:00",23.83,35,renewal,user2035@example.com,2035,
42,shop_order,wc-failed,"2026-01-24 01:06:00",18.13,35,renewal,user2035@example.com,2035,
43,shop_subscription,wc-pending,"2025-09-10 16:04:00",22.90,,subscription,user2043@example.com,2043,
44,shop_order,wc-failed,"2025-09-10 16:04:00",44.25,43,parent,user2043@example.com,2043,
45,shop_order,wc-completed,"2025-03-01 18:54:00",36.40,43,renewal,user2043@example.com,2043,
46,shop_order,wc-completed,"2025-03-17 21:04:00",37.01,43,renewal,user2043@example.com,2043,
47,shop_order,wc-completed,"2026-02-16 15:50:00",47.83,43,renewal,user2043@example.com,2043,
48,shop_order,wc-failed,"2026-04-24 00:15:00",38.18,43,renewal,user2043@example.com,2043,
49,shop_order,wc-pending,"2025-08-20 11:53:00",15.06,43,renewal,user2043@example.com,2043,
50,shop_subscription,wc-pending-cancel,"2025-07-17 04:32:00",46.28,,subscription,user2000@example.com,2000,
51,shop_order,wc-completed,"2025-07-17 04:32:00",22.56,50,parent,user2000@example.com,2000,
52,shop_order,wc-completed,"2025-06-20 05:50:00",32.25,50,renewal,user2000@example.com,2000,
53,shop_subscription,wc-active,"2026-05-01 02:37:00",40.81,,subscription,user2003@example.com,2003,
54,shop_order,wc-completed,"2026-05-01 02:37:00",30.81,53,parent,user2003@example.com,2003,
55,shop_subscription,wc-pending,"2025-12-12 06:35:00",44.97,,subscription,user2005@example.com,2005,
56,shop_order,wc-failed,"2025-12-12 06:35:00",19.01,55,parent,user2005@example.com,2005,
57,shop_order,wc-pending,"2025-02-08 04:11:00",34.31,55,renewal,user2005@example.com,2005,
58,shop_order,wc-completed,"2026-06-07 22:19:00",20.89,55,renewal,user2005@example.com,2005,
59,shop_order,wc-completed,"2026-01-12 10:45:00",32.27,55,renewal,user2005@example.com,2005,
60,shop_order,wc-completed,"2026-01-28 11:34:00",45.77,55,renewal,user2005@example.com,2005,
61,shop_order,wc-failed,"2026-05-19 02:31:00",43.88,55,renewal,user2005@example.com,2005,
62,shop_subscription,wc-active,"2026-06-21 00:43:00",14.29,,subscription,user2012@example.com,2012,
63,shop_order,wc-completed,"2026-06-21 00:43:00",40.03,62,parent,user2012@example.com,2012,
64,shop_subscription,wc-cancelled,"2026-05-24 08:20:00",10.12,,subscription,user2014@example.com,2014,"2026-10-24 08:20:00"
65,shop_order,wc-completed,"2026-05-24 08:20:00",12.35,64,parent,user2014@example.com,2014,
66,shop_order,wc-completed,"2025-12-12 01:31:00",22.43,64,renewal,user2014@example.com,2014,
67,shop_subscription,wc-active,"2026-02-01 01:36:00",22.84,,subscription,user2017@example.com,2017,
68,shop_order,wc-completed,"2026-02-01 01:36:00",20.94,67,parent,user2017@example.com,2017,
69,shop_subscription,wc-cancelled,"2025-10-19 22:44:00",30.55,,subscription,user2019@example.com,2019,"2026-01-19 22:44:00"
70,shop_order,wc-completed,"2025-10-19 22:44:00",19.35,69,parent,user2019@example.com,2019,
71,shop_order,wc-failed,"2025-10-04 16:19:00",13.26,69,renewal,user2019@example.com,2019,
72,shop_order,wc-pending,"2025-08-04 21:23:00",28.94,69,renewal,user2019@example.com,2019,
73,shop_order,wc-pending,"2026-04-10 00:10:00",20.58,69,renewal,user2019@example.com,2019,
74,shop_order,wc-completed,"2025-02-12 05:41:00",27.76,69,renewal,user2019@example.com,2019,
75,shop_order,wc-completed,"2025-05-08 20:32:00",12.36,69,renewal,user2019@example.com,2019,
76,shop_order,wc-completed,"2025-10-21 05:56:00",26.18,69,renewal,user2019@example.com,2019,
77,shop_subscription,wc-cancelled,"2025-04-28 15:18:00",48.43,,subscription,user2027@example.com,2027,
78,shop_order,wc-failed,"2025-04-28 15:18:00",16.84,77,parent,user2027@example.com,2027,
79,shop_order,wc-pending,"2025-03-18 22:33:00",25.17,77,renewal,user2027@example.com,2027,
80,shop_order,wc-failed,"2025-12-25 18:33:00",48.75,77,renewal,user2027@example.com,2027,
81,shop_subscription,wc-cancelled,"2025-01-02 12:45:00",17.86,,subscription,user2031@example.com,2031,"2025-05-02 12:45:00"
82,shop_order,wc-completed,"2025-01-02 12:45:00",46.64,81,parent,user2031@example.com,2031,
83,shop_order,wc-completed,"2025-01-28 10:31:00",30.56,81,renewal,user2031@example.com,2031,
84,shop_order,wc-pending,"2025-12-21 19:55:00",47.45,81,renewal,user2031@example.com,2031,
85,shop_subscription,wc-active,"2026-06-25 13:30:00",19.51,,subscription,user2035@example.com,2035,
86,shop_order,wc-completed,"2026-06-25 13:30:00",21.91,85,parent,user2035@example.com,2035,
87,shop_order,wc-completed,"2025-07-10 04:38:00",27.38,85,renewal,user2035@example.com,2035,
88,shop_order,wc-completed,"2025-01-24 14:16:00",16.72,85,renewal,user2035@example.com,2035,
89,shop_subscription,wc-active,"2025-05-13 15:26:00",47.78,,subscription,user2039@example.com,2039,
90,shop_order,wc-completed,"2025-05-13 15:26:00",24.13,89,parent,user2039@example.com,2039,
91,shop_order,wc-completed,"2025-12-02 18:07:00",43.00,89,renewal,user2039@example.com,2039,
92,shop_subscription,wc-active,"2025-12-20 22:17:00",41.17,,subscription,user2042@example.com,2042,
93,shop_order,wc-completed,"2025-12-20 22:17:00",46.37,92,parent,user2042@example.com,2042,
94,shop_subscription,wc-pending-cancel,"2026-06-18 08:59:00",44.81,,subscription,user2044@example.com,2044,
95,shop_order,wc-completed,"2026-06-18 08:59:00",9.56,94,parent,user2044@example.com,2044,
96,shop_order,wc-completed,"2025-07-17 09:22:00",33.26,94,renewal,user2044@example.com,2044,
97,shop_order,wc-completed,"2025-08-21 23:16:00",16.58,94,renewal,user2044@example.com,2044,
98,shop_order,wc-completed,"2026-05-21 11:52:00",46.28,94,renewal,user2044@example.com,2044,
99,shop_subscription,wc-on-hold,"2025-06-20 05:23:00",35.67,,subscription,user2049@example.com,2049,
100,shop_order,wc-failed,"2025-06-20 05:23:00",48.07,99,parent,user2049@example.com,2049,
101,shop_order,wc-completed,"2026-02-02 17:31:00",24.26,99,renewal,user2049@example.com,2049,
102,shop_subscription,wc-pending,"2025-04-03 16:21:00",33.44,,subscription,user2002@example.com,2002,
103,shop_order,wc-completed,"2025-04-03 16:21:00",26.14,102,parent,user2002@example.com,2002,
104,shop_order,wc-failed,"2026-04-13 11:17:00",43.62,102,renewal,user2002@example.com,2002,
105,shop_subscription,wc-active,"2026-06-27 03:28:00",19.82,,subscription,user2005@example.com,2005,
106,shop_order,wc-failed,"2026-06-27 03:28:00",34.73,105,parent,user2005@example.com,2005,
107,shop_subscription,wc-pending,"2025-10-25 06:07:00",25.84,,subscription,user2007@example.com,2007,
108,shop_order,wc-failed,"2025-10-25 06:07:00",41.42,107,parent,user2007@example.com,2007,
109,shop_order,wc-completed,"2025-07-27 22:51:00",40.08,107,renewal,user2007@example.com,2007,
110,shop_order,wc-completed,"2026-05-22 11:01:00",17.32,107,renewal,user2007@example.com,2007,
111,shop_order,wc-completed,"2026-05-08 22:14:00",15.75,107,renewal,user2007@example.com,2007,
112,shop_order,wc-completed,"2025-11-26 04:17:00",29.99,107,renewal,user2007@example.com,2007,
113,shop_order,wc-pending,"2025-01-17 11:20:00",20.15,107,renewal,user2007@example.com,2007,
114,shop_subscription,wc-on-hold,"2026-02-21 06:17:00",23.74,,subscription,user2014@example.com,2014,
115,shop_order,wc-failed,"2026-02-21 06:17:00",28.39,114,parent,user2014@example.com,2014,
116,shop_order,wc-completed,"2026-04-25 04:16:00",30.29,114,renewal,user2014@example.com,2014,
117,shop_order,wc-completed,"2026-01-04 14:36:00",48.32,114,renewal,user2014@example.com,2014,
118,shop_order,wc-completed,"2026-05-07 03:01:00",17.96,114,renewal,user2014@example.com,2014,
119,shop_order,wc-pending,"2026-06-01 12:25:00",43.68,114,renewal,user2014@example.com,2014,
120,shop_order,wc-completed,"2025-05-01 13:33:00",31.15,114,renewal,user2014@example.com,2014,
121,shop_order,wc-pending,"2025-06-24 01:01:00",32.59,114,renewal,user2014@example.com,2014,
122,shop_subscription,wc-cancelled,"2026-03-20 08:25:00",19.38,,subscription,user2022@example.com,2022,"2026-12-20 08:25:00"
123,shop_order,wc-completed,"2026-03-20 08:25:00",38.11,122,parent,user2022@example.com,2022,
124,shop_order,wc-completed,"2025-10-10 19:58:00",9.60,122,renewal,user2022@example.com,2022,
125,shop_subscription,wc-active,"2026-03-26 23:40:00",23.96,,subscription,user2025@example.com,2025,
126,shop_order,wc-failed,"2026-03-26 23:40:00",47.12,125,parent,user2025@example.com,2025,
127,shop_order,wc-completed,"2025-12-12 14:09:00",16.41,125,renewal,user2025@example.com,2025,
128,shop_order,wc-failed,"2025-06-27 11:15:00",18.61,125,renewal,user2025@example.com,2025,
129,shop_order,wc-pending,"2025-02-21 00:00:00",14.53,125,renewal,user2025@example.com,2025,
130,shop_order,wc-completed,"2026-01-08 10:32:00",31.04,125,renewal,user2025@example.com,2025,
131,shop_subscription,wc-expired,"2026-04-07 11:48:00",29.56,,subscription,user2031@example.com,2031,"2027-02-07 11:48:00"
132,shop_order,wc-completed,"2026-04-07 11:48:00",34.85,131,parent,user2031@example.com,2031,
133,shop_order,wc-completed,"2026-02-11 14:52:00",42.89,131,renewal,user2031@example.com,2031,
134,shop_order,wc-completed,"2026-03-06 17:17:00",26.38,131,renewal,user2031@example.com,2031,
135,shop_subscription,wc-expired,"2026-05-21 06:31:00",12.91,,subscription,user2035@example.com,2035,"2027-02-21 06:31:00"
136,shop_order,wc-completed,"2026-05-21 06:31:00",45.96,135,parent,user2035@example.com,2035,
137,shop_order,wc-completed,"2025-08-21 20:04:00",34.16,135,renewal,user2035@example.com,2035,
138,shop_subscription,wc-on-hold,"2025-02-13 16:03:00",36.16,,subscription,user2038@example.com,2038,
139,shop_order,wc-completed,"2025-02-13 16:03:00",48.04,138,parent,user2038@example.com,2038,
140,shop_order,wc-failed,"2025-08-05 22:27:00",31.12,138,renewal,user2038@example.com,2038,
141,shop_order,wc-completed,"2025-04-04 12:27:00",36.99,138,renewal,user2038@example.com,2038,
142,shop_order,wc-completed,"2026-05-15 16:02:00",38.40,138,renewal,user2038@example.com,2038,
143,shop_order,wc-completed,"2025-01-21 13:27:00",15.11,138,renewal,user2038@example.com,2038,
144,shop_subscription,wc-pending-cancel,"2025-02-17 02:06:00",35.99,,subscription,user2044@example.com,2044,
145,shop_order,wc-completed,"2025-02-17 02:06:00",46.06,144,parent,user2044@example.com,2044,
146,shop_order,wc-completed,"2025-11-16 16:06:00",23.07,144,renewal,user2044@example.com,2044,
147,shop_subscription,wc-pending,"2025-05-16 11:58:00",47.32,,subscription,user2047@example.com,2047,
148,shop_order,wc-completed,"2025-05-16 11:58:00",33.20,147,parent,user2047@example.com,2047,
149,shop_order,wc-pending,"2025-04-01 19:34:00",38.91,147,renewal,user2047@example.com,2047,
150,shop_order,wc-completed,"2026-03-15 23:40:00",18.57,147,renewal,user2047@example.com,2047,
151,shop_order,wc-completed,"2025-03-26 01:06:00",39.04,147,renewal,user2047@example.com,2047,
152,shop_order,wc-completed,"2025-08-21 10:38:00",12.70,147,renewal,user2047@example.com,2047,
153,shop_order,wc-completed,"2025-11-26 22:07:00",46.95,147,renewal,user2047@example.com,2047,
154,shop_order,wc-completed,"2025-12-12 00:08:00",42.75,147,renewal,user2047@example.com,2047,
155,shop_subscription,wc-cancelled,"2025-12-09 15:49:00",35.31,,subscription,user2005@example.com,2005,"2026-06-09 15:49:00"
156,shop_order,wc-failed,"2025-12-09 15:49:00",24.37,155,parent,user2005@example.com,2005,
157,shop_order,wc-completed,"2026-05-02 02:31:00",39.46,155,renewal,user2005@example.com,2005,
158,shop_order,wc-completed,"2025-11-14 19:52:00",17.16,155,renewal,user2005@example.com,2005,
159,shop_order,wc-pending,"2025-11-04 03:57:00",37.86,155,renewal,user2005@example.com,2005,
160,shop_order,wc-completed,"2026-01-21 19:09:00",22.89,155,renewal,user2005@example.com,2005,
161,shop_order,wc-completed,"2026-04-18 18:42:00",30.05,155,renewal,user2005@example.com,2005,
162,shop_subscription,wc-active,"2025-03-21 01:39:00",14.20,,subscription,user2012@example.com,2012,
163,shop_order,wc-failed,"2025-03-21 01:39:00",40.00,162,parent,user2012@example.com,2012,
164,shop_order,wc-pending,"2026-01-09 22:16:00",38.73,162,renewal,user2012@example.com,2012,
165,shop_order,wc-completed,"2025-06-02 00:34:00",19.37,162,renewal,user2012@example.com,2012,
166,shop_order,wc-completed,"2025-11-20 00:25:00",46.22,162,renewal,user2012@example.com,2012,
167,shop_order,wc-completed,"2025-04-20 12:55:00",35.12,162,renewal,user2012@example.com,2012,
168,shop_order,wc-pending,"2025-09-12 13:32:00",22.85,162,renewal,user2012@example.com,2012,
169,shop_order,wc-completed,"2025-01-20 02:58:00",30.87,162,renewal,user2012@example.com,2012,
170,shop_subscription,wc-pending,"2025-02-19 16:16:00",39.02,,subscription,user2020@example.com,2020,
171,shop_order,wc-completed,"2025-02-19 16:16:00",39.69,170,parent,user2020@example.com,2020,
